Sentiment,% of words with sentiment in white reports,% of words with sentiment in non-white reports,% difference
Positiv,16.01,16.29,-0.28
Nonadlt,1.88,2.14,-0.26
IndAdj,3.79,4.3,-0.51
Virtue,8.57,9.25,-0.68
Ovrst,3.79,4.04,-0.25
EVAL,3.33,3.63,-0.3
Object,2.31,1.78,0.53
Tool,2.04,1.14,0.9
ComForm,3.92,4.28,-0.36
EnlOth,2.41,3.25,-0.84
EnlTot,5.17,5.84,-0.67
FormLw,1.65,2.2,-0.55
Strong,22.57,23.35,-0.78
Power,5.73,5.17,0.56
Active,22.47,21.85,0.62
Milit,0.99,0.69,0.3
POLIT,0.89,0.72,0.17
Role,5.47,4.59,0.88
HU,6.49,5.66,0.83
PowAuPt,0.63,0.32,0.31
PowTot,8.73,8.7,0.03
Know,1.65,2.04,-0.39
Perceiv,0.79,0.96,-0.17
Negate,1.12,1.1,0.02
SureLw,0.89,1.03,-0.14
Pstv,8.34,8.65,-0.31
Pleasur,0.13,0.22,-0.09
EMOT,0.72,0.77,-0.05
WlbPsyc,0.23,0.24,-0.01
WlbTot,1.78,1.48,0.3
ECON,2.11,2.71,-0.6
Polit@,0.23,0.23,0.0
COLL,0.96,1.04,-0.08
Solve,4.35,4.3,0.05
IAV,20.49,19.91,0.58
Quan,2.83,2.59,0.24
Negativ,10.54,11.78,-1.24
Ngtv,7.64,8.8,-1.16
Hostile,5.73,6.3,-0.57
Vice,2.14,3.54,-1.4
COM,1.19,1.37,-0.18
EndsLw,5.27,6.15,-0.88
MeansLw,1.32,1.01,0.31
DAV,4.48,4.52,-0.04
TrnGain,2.08,2.39,-0.31
NatrPro,1.25,1.59,-0.34
PowOth,2.67,3.12,-0.45
Quality,4.51,4.21,0.3
PLACE,2.44,3.33,-0.89
Region,0.59,0.71,-0.12
Passive,9.29,9.84,-0.55
SocRel,5.6,5.82,-0.22
Eval@,0.76,0.7,0.06
Affil,4.25,3.54,0.71
ABS,3.79,3.96,-0.17
DIST,1.78,1.51,0.27
Space,8.43,7.67,0.76
TimeSpc,5.86,6.81,-0.95
Time@,1.35,1.49,-0.14
Undrst,1.09,1.0,0.09
EnlGain,2.34,2.15,0.19
Weak,3.33,4.03,-0.7
Fall,0.79,0.95,-0.16
BldgPt,0.13,0.29,-0.16
Rel,1.38,1.18,0.2
Route,0.92,1.81,-0.89
NegAff,0.86,0.67,0.19
Abs@,1.94,2.42,-0.48
AffGain,1.38,0.8,0.58
AffTot,1.55,0.92,0.63
WltOth,1.09,1.35,-0.26
WltTot,1.88,2.18,-0.3
Travel,3.33,3.29,0.04
PowCon,2.41,2.56,-0.15
Arousal,1.78,1.69,0.09
WlbPhys,1.45,1.15,0.3
Fetch,0.33,0.33,0.0
Stay,0.66,0.54,0.12
Vary,0.46,0.74,-0.28
TranLw,3.79,4.05,-0.26
Need,1.81,1.37,0.44
Causal,0.92,0.93,-0.01
Exert,3.99,2.99,1.0
Goal,1.61,1.21,0.4
Complet,2.67,2.63,0.04
Submit,1.45,1.33,0.12
Legal,0.36,0.47,-0.11
SklPt,0.86,0.76,0.1
SklTOT,2.54,3.01,-0.47
Rise,0.59,0.2,0.39
Econ@,2.83,3.32,-0.49
ComnObj,0.07,0.14,-0.07
Means,2.01,2.5,-0.49
Ritual,0.76,1.03,-0.27
Exprsv,1.42,1.71,-0.29
EnlPt,0.16,0.21,-0.05
FREQ,0.13,0.17,-0.04
SV,0.79,0.79,0.0
If,0.63,0.52,0.11
PowPt,1.29,1.12,0.17
PowLoss,0.56,0.5,0.06
Fail,0.76,1.14,-0.38
RspOth,0.72,0.58,0.14
RspTot,0.72,0.63,0.09
Decreas,0.46,0.52,-0.06
TrnLoss,1.09,1.1,-0.01
EnlLoss,0.03,0.03,0.0
SklOth,1.68,2.2,-0.52
DIM,1.12,1.01,0.11
Pain,0.43,0.32,0.11
ArenaLw,0.13,0.09,0.04
PosAff,0.66,0.51,0.15
BodyPt,2.34,1.31,1.03
Work,1.22,2.05,-0.83
Academ,0.53,0.9,-0.37
Doctrin,0.99,1.12,-0.13
WlbPt,0.07,0.03,0.04
WltPt,0.76,0.75,0.01
IPadj,0.26,0.37,-0.11
PowCoop,0.99,0.82,0.17
Finish,0.86,0.63,0.23
Intrj,0.13,0.18,-0.05
Try,0.46,0.52,-0.06
Sky,0.66,0.47,0.19
RcEnds,0.33,0.29,0.04
RcTot,1.09,0.97,0.12
Increas,0.4,1.02,-0.62
Feel,0.82,0.79,0.03
RcEthic,0.72,0.64,0.08
PowGain,0.13,0.14,-0.01
Persist,0.2,0.33,-0.13
Name,0.23,0.1,0.13
NUMB,0.03,0.01,0.02
CARD,0.03,0.01,0.02
Aquatic,0.07,0.06,0.01
Think,0.07,0.02,0.05
AffOth,0.13,0.07,0.06
EnlEnds,0.23,0.2,0.03
Begin,0.3,0.47,-0.17
Land,0.13,0.02,0.11
POS,0.3,0.58,-0.28
PowEnds,0.07,0.05,0.02
Our,0.07,0.02,0.05
Social,0.07,0.22,-0.15
AffPt,0.03,0.03,0.0
TIME,0.03,0.12,-0.09
PtLw,0.03,0.06,-0.03
WltTran,0.03,0.09,-0.06
WlbGain,0.03,0.05,-0.02
Anomie,0.07,0.09,-0.02
NatObj,0.03,0.04,-0.01
ANI,0.03,0.07,-0.04
MALE,0.03,0.05,-0.02
Exch,0.03,0.03,0.0
RcGain,0.03,0.02,0.01
Ought,0.03,0.1,-0.07
