ID,Position,Scouting Report Sentence(s),Race
1,QB,Played rare volume of high-leverage games as three-year starter,W
1,QB, 86-4 record as a starter dating back to high school,W
1,QB, Commanding presence with unmistakable air of confidence,W
1,QB," Elite size, athleticism and play traits",W
1,QB, Dual-threat capabilities will add to his explosive play totals,W
1,QB," Speed, wiggle and toughness for zone-read and called runs",W
1,QB, Understands how to protect himself,W
1,QB, Feet stay calm when working from pocket,W
1,QB, Subtle pocket slides to stay pass-ready and on platform,W
1,QB, Internal clock helps him stay on schedule,W
1,QB, High-level escapability when pocket collapses,W
1,QB, Pinpoint accuracy on basic throws,W
1,QB, Sticks short throws into run-ready placement,W
1,QB, Ability to generate sudden torque for drive velocity,W
1,QB, Arm to challenge safeties and work into tight windows,W
1,QB, Willing to take punishment to deliver throw with poise,W
1,QB, Alters arm slot to sling it around incoming bodies,W
1,QB, Capable of altering touch and trajectory when needed,W
1,QB, Unlikely to opt-out into checkdown prematurely,W
1,QB, Delivers lasers to the back shoulder,W
1,QB, Benefits from heavy play-action and quick game,W
1,QB,  Offense limited amount of full-field reads asked of him,W
1,QB, Inconsistent eye manipulation of safeties,W
1,QB, Play can become frenetic when pressure arises,W
1,QB, Struggled deciphering blitz and coverage packages against Virginia Tech,W
1,QB, Has ball dip in his passing delivery,W
1,QB, Can improve in throwing receivers open,W
1,QB, Sailed a few more throws than expected,W
1,QB, Will make ill-advised throw over taking sack on occasion,W
1,QB, Average deep-ball placement,W
1,QB, Will need to incorporate a slide into his game as a runner,W
2,QB,Enormous jump in production and play quality in 2020,NW
2,QB, Outstanding 11:1 touchdown-to-interception ratio in 2020,NW
2,QB, Offers potential as full-field reader,NW
2,QB," Arm looked substantially more lively in 2020, with highlight-reel throws on the move",NW
2,QB, Slick ball-handler in quick game and RPOs,NW
2,QB, Twitchy operation time to get it out and easily alters arm slot if needed,NW
2,QB, Generates sudden drive velocity for seam throws,NW
2,QB, Throws with some accuracy working off-platform,NW
2,QB, Sticks throws into Cover 2 windows with great conviction,NW
2,QB, Unafraid of making tight-window challenges,NW
2,QB, Gives big targets a chance to make plays on 50/50 balls,NW
2,QB," Deep and intermediate accuracy (54% and 68%, according to PFF) was outstanding",NW
2,QB, Feels pressure bearing down off the edge,NW
2,QB, Able to make subtle pocket slides and stay throw-ready,NW
2,QB, Athletic play extender with big-play mindset outside the pocket,NW
2,QB, Has mobility to keep defenses honest,NW
2,QB," Level of competition allowed for ""bombs away"" mindset in 2020",NW
2,QB, Struggled with accuracy and decision-making against Coastal Carolina,NW
2,QB, Carries ball down by waist as pocket scanner,NW
2,QB, Has tendency to over-stride and sail throws at times,NW
2,QB, Hero ball needs to be dialed back a bit,NW
2,QB, Passed up on the easy throw to take the harder throw,NW
2,QB, Doesn’t work with enough anticipation as a passer,NW
2,QB," Will baby throws, forcing open receivers to break stride",NW
2,QB, Ill-advised throws under pressure turned into interceptions in 2019,NW
3,QB,Film junkie with high football IQ and an NFL frame,NW
3,QB, Makes calls to set his own protections,NW
3,QB, Bouncy feet for accelerated pocket setups,NW
3,QB," Play-fake aficionado from under center, causing defenders to consistently bite",NW
3,QB, Passing scheme encourages full-field reads,NW
3,QB, Processes progressions very quickly and can work to his fourth read when protected,NW
3,QB, Able to mentally recalibrate his attack when play comes off schedule,NW
3,QB, Taking care of the football is a priority for him,NW
3,QB, Rarely takes bait against zone defenders and safeties looking to pounce,NW
3,QB," Compact, twitchy release partially mitigates his windup",NW
3,QB, Makes attempt to throw targets away from coverage,NW
3,QB, Adequate anticipation on timing routes,NW
3,QB, Makes quality touch throws into sideline buckets and over linebackers,NW
3,QB, Knows his way around pocket and can make sudden escapes,NW
3,QB," Above-average speed, athleticism and power when he’s on the move as a runner",NW
3,QB, Able to move the chains in a variety of ways,NW
3,QB, Highly inexperienced with just 318 pass attempts under his belt,NW
3,QB, Will be 20 years old at the time of the 2021 draft,NW
3,QB, Gets a little lackadaisical with his feet in quick game,NW
3,QB, Needs to trust his pocket,NW
3,QB, Has a tendency to void pocket rather than sliding and surveilling,NW
3,QB, Pressure pulls his attention from deliverable throws,NW
3,QB, Needs to become more decisive and trust his eyes,NW
3,QB," Leaves lower half behind, diminishing his drive velocity",NW
3,QB, Occasionally leaves explosive plays on the field by not getting it out on time,NW
3,QB," Leaves too many deep balls short, allowing defenders to challenge",NW
3,QB, Can be overly cautious,NW
4,TE,Challenging matchup who might require specialty defenders,NW
4,TE," Rare combination of size, speed, athleticism and elite ball skills",NW
4,TE, Puts in work on all three levels as pass catcher,NW
4,TE, Allows offense to align him into mismatches against static coverage schemes,NW
4,TE, Keeps defender on the back foot with alterations of route speed,NW
4,TE, Clever workarounds in space without getting slowed,NW
4,TE, Quick accelerator to explode past off-man near the line,NW
4,TE, Turn burst and long strides create instant separation for quarterback,NW
4,TE, Hand chops dislodge grabby defender inside the route,NW
4,TE, Quick to locate and track the throw while maintaining positioning,NW
4,TE, Tremendous poise with laser-sharp focus on contested catches,NW
4,TE, Clears catch space suddenly with subtle hand-fighting,NW
4,TE, Body control and timing make time stand still as airborne baller,NW
4,TE, Should consistently win back-shoulder and red-zone looks,NW
4,TE," Catches with strong, soft hands and consistent extension",NW
4,TE, Eliminated his focus drops in 2020,NW
4,TE, Good effort in trying to stay connected to the block,NW
4,TE, Leggy into route breaks and can improve short-area footwork,NW
4,TE, Doesn’t throw many fakes to knock coverage off the scent,NW
4,TE, Mass and core strength missing for in-line blocking,NW
4,TE, Struggles to sustain at the point of attack,NW
4,TE, Needs to work with inside hands when taking on defenders,NW
4,TE, Below-average instincts as a lead blocker in space,NW
5,WR,Well-built lower body and good weight-room worker,NW
5,WR," Smooth, subtle and explosive",NW
5,WR, Eight touchdown catches of 50-plus yards in 2019,NW
5,WR, Blistering vertical acceleration to separate from stunned cornerbacks,NW
5,WR, Hand fighting distances him from coverage,NW
5,WR, Ball-tracking and downfield adjustments are rare,NW
5,WR, Graceful sky-walker with high-point agility,NW
5,WR, Posters full of defenders who tested him on 50-50 balls,NW
5,WR, Already dragging two feet inbounds on sideline catches,NW
5,WR, Turns scramble situations into big plays for his offense,NW
5,WR, Could require scheme help for opposing corners in the future,NW
5,WR, Ball magnet with sticky hands,NW
5,WR, Able to make hands catch-ready in an instant,NW
5,WR, Instinctive body positioning on contested catches,NW
5,WR, Spears throws outside his frame with natural adjustments,NW
5,WR, Big-play speed to the house on slants and over routes,NW
5,WR, Average short-area foot quickness in release and route breaks,NW
5,WR, Upright target who can be too easy to disrupt by press,NW
5,WR, Needs to play to his true speed more consistently,NW
5,WR, Relies upon athletic gifts and can be nonchalant with routes,NW
