Sentiment,% of words with sentiment in white reports,% of words with sentiment in non-white reports,relative % difference
Positiv,16.01,16.29,-1.73
Nonadlt,1.88,2.14,-12.94
IndAdj,3.79,4.3,-12.61
Virtue,8.57,9.25,-7.63
Ovrst,3.79,4.04,-6.39
EVAL,3.33,3.63,-8.62
Object,2.31,1.78,25.92
Tool,2.04,1.14,56.6
ComForm,3.92,4.28,-8.78
EnlOth,2.41,3.25,-29.68
EnlTot,5.17,5.84,-12.17
FormLw,1.65,2.2,-28.57
Strong,22.57,23.35,-3.4
Power,5.73,5.17,10.28
Active,22.47,21.85,2.8
Milit,0.99,0.69,35.71
POLIT,0.89,0.72,21.12
Role,5.47,4.59,17.5
HU,6.49,5.66,13.66
PowAuPt,0.63,0.32,65.26
PowTot,8.73,8.7,0.34
Know,1.65,2.04,-21.14
Perceiv,0.79,0.96,-19.43
Negate,1.12,1.1,1.8
SureLw,0.89,1.03,-14.58
Pstv,8.34,8.65,-3.65
Pleasur,0.13,0.22,-51.43
EMOT,0.72,0.77,-6.71
WlbPsyc,0.23,0.24,-4.26
WlbTot,1.78,1.48,18.4
ECON,2.11,2.71,-24.9
Polit@,0.23,0.23,0.0
COLL,0.96,1.04,-8.0
Solve,4.35,4.3,1.16
IAV,20.49,19.91,2.87
Quan,2.83,2.59,8.86
Negativ,10.54,11.78,-11.11
Ngtv,7.64,8.8,-14.11
Hostile,5.73,6.3,-9.48
Vice,2.14,3.54,-49.3
COM,1.19,1.37,-14.06
EndsLw,5.27,6.15,-15.41
MeansLw,1.32,1.01,26.61
DAV,4.48,4.52,-0.89
TrnGain,2.08,2.39,-13.87
NatrPro,1.25,1.59,-23.94
PowOth,2.67,3.12,-15.54
Quality,4.51,4.21,6.88
PLACE,2.44,3.33,-30.85
Region,0.59,0.71,-18.46
Passive,9.29,9.84,-5.75
SocRel,5.6,5.82,-3.85
Eval@,0.76,0.7,8.22
Affil,4.25,3.54,18.23
ABS,3.79,3.96,-4.39
DIST,1.78,1.51,16.41
Space,8.43,7.67,9.44
TimeSpc,5.86,6.81,-15.0
Time@,1.35,1.49,-9.86
Undrst,1.09,1.0,8.61
EnlGain,2.34,2.15,8.46
Weak,3.33,4.03,-19.02
Fall,0.79,0.95,-18.39
BldgPt,0.13,0.29,-76.19
Rel,1.38,1.18,15.62
Route,0.92,1.81,-65.2
NegAff,0.86,0.67,24.84
Abs@,1.94,2.42,-22.02
AffGain,1.38,0.8,53.21
AffTot,1.55,0.92,51.01
WltOth,1.09,1.35,-21.31
WltTot,1.88,2.18,-14.78
Travel,3.33,3.29,1.21
PowCon,2.41,2.56,-6.04
Arousal,1.78,1.69,5.19
WlbPhys,1.45,1.15,23.08
Fetch,0.33,0.33,0.0
Stay,0.66,0.54,20.0
Vary,0.46,0.74,-46.67
TranLw,3.79,4.05,-6.63
Need,1.81,1.37,27.67
Causal,0.92,0.93,-1.08
Exert,3.99,2.99,28.65
Goal,1.61,1.21,28.37
Complet,2.67,2.63,1.51
Submit,1.45,1.33,8.63
Legal,0.36,0.47,-26.51
SklPt,0.86,0.76,12.35
SklTOT,2.54,3.01,-16.94
Rise,0.59,0.2,98.73
Econ@,2.83,3.32,-15.93
ComnObj,0.07,0.14,-66.67
Means,2.01,2.5,-21.73
Ritual,0.76,1.03,-30.17
Exprsv,1.42,1.71,-18.53
EnlPt,0.16,0.21,-27.03
FREQ,0.13,0.17,-26.67
SV,0.79,0.79,0.0
If,0.63,0.52,19.13
PowPt,1.29,1.12,14.11
PowLoss,0.56,0.5,11.32
Fail,0.76,1.14,-40.0
RspOth,0.72,0.58,21.54
RspTot,0.72,0.63,13.33
Decreas,0.46,0.52,-12.24
TrnLoss,1.09,1.1,-0.91
EnlLoss,0.03,0.03,0.0
SklOth,1.68,2.2,-26.8
DIM,1.12,1.01,10.33
Pain,0.43,0.32,29.33
ArenaLw,0.13,0.09,36.36
PosAff,0.66,0.51,25.64
BodyPt,2.34,1.31,56.44
Work,1.22,2.05,-50.76
Academ,0.53,0.9,-51.75
Doctrin,0.99,1.12,-12.32
WlbPt,0.07,0.03,80.0
WltPt,0.76,0.75,1.32
IPadj,0.26,0.37,-34.92
PowCoop,0.99,0.82,18.78
Finish,0.86,0.63,30.87
Intrj,0.13,0.18,-32.26
Try,0.46,0.52,-12.24
Sky,0.66,0.47,33.63
RcEnds,0.33,0.29,12.9
RcTot,1.09,0.97,11.65
Increas,0.4,1.02,-87.32
Feel,0.82,0.79,3.73
RcEthic,0.72,0.64,11.76
PowGain,0.13,0.14,-7.41
Persist,0.2,0.33,-49.06
Name,0.23,0.1,78.79
NUMB,0.03,0.01,100.0
CARD,0.03,0.01,100.0
Aquatic,0.07,0.06,15.38
Think,0.07,0.02,111.11
AffOth,0.13,0.07,60.0
EnlEnds,0.23,0.2,13.95
Begin,0.3,0.47,-44.16
Land,0.13,0.02,146.67
POS,0.3,0.58,-63.64
PowEnds,0.07,0.05,33.33
Our,0.07,0.02,111.11
Social,0.07,0.22,-103.45
AffPt,0.03,0.03,0.0
TIME,0.03,0.12,-120.0
PtLw,0.03,0.06,-66.67
WltTran,0.03,0.09,-100.0
WlbGain,0.03,0.05,-50.0
Anomie,0.07,0.09,-25.0
NatObj,0.03,0.04,-28.57
ANI,0.03,0.07,-80.0
MALE,0.03,0.05,-50.0
Exch,0.03,0.03,0.0
RcGain,0.03,0.02,40.0
Ought,0.03,0.1,-107.69
