Name,Position,Scouting Report,Race
Trevor Lawrence,QB,"Played rare volume of high-leverage games as three-year starter.
 86-4 record as a starter dating back to high school.
 Commanding presence with unmistakable air of confidence.
 Elite size, athleticism and play traits.
 Dual-threat capabilities will add to his explosive play totals.
 Speed, wiggle and toughness for zone-read and called runs.
 Understands how to protect himself.
 Feet stay calm when working from pocket.
 Subtle pocket slides to stay pass-ready and on platform.
 Internal clock helps him stay on schedule.
 High-level escapability when pocket collapses.
 Pinpoint accuracy on basic throws.
 Sticks short throws into run-ready placement.
 Ability to generate sudden torque for drive velocity.
 Arm to challenge safeties and work into tight windows.
 Willing to take punishment to deliver throw with poise.
 Alters arm slot to sling it around incoming bodies.
 Capable of altering touch and trajectory when needed.
 Unlikely to opt-out into checkdown prematurely.
 Delivers lasers to the back shoulder. Benefits from heavy play-action and quick game.
  Offense limited amount of full-field reads asked of him.
 Inconsistent eye manipulation of safeties.
 Play can become frenetic when pressure arises.
 Struggled deciphering blitz and coverage packages against Virginia Tech.
 Has ball dip in his passing delivery.
 Can improve in throwing receivers open.
 Sailed a few more throws than expected.
 Will make ill-advised throw over taking sack on occasion.
 Average deep-ball placement.
 Will need to incorporate a slide into his game as a runner.
 Threw an interception in five of his last six games.",W
Zach Wilson,QB,"Enormous jump in production and play quality in 2020.
 Outstanding 11:1 touchdown-to-interception ratio in 2020.
 Offers potential as full-field reader.
 Arm looked substantially more lively in 2020, with highlight-reel throws on the move.
 Slick ball-handler in quick game and RPOs.
 Twitchy operation time to get it out and easily alters arm slot if needed.
 Generates sudden drive velocity for seam throws.
 Throws with some accuracy working off-platform.
 Sticks throws into Cover 2 windows with great conviction.
 Unafraid of making tight-window challenges.
 Gives big targets a chance to make plays on 50/50 balls.
 Deep and intermediate accuracy (54% and 68%, according to PFF) was outstanding.
 Feels pressure bearing down off the edge.
 Able to make subtle pocket slides and stay throw-ready.
 Athletic play extender with big-play mindset outside the pocket.
 Has mobility to keep defenses honest. Level of competition allowed for ""bombs away"" mindset in 2020.
 Struggled with accuracy and decision-making against Coastal Carolina.
 Carries ball down by waist as pocket scanner.
 Has tendency to over-stride and sail throws at times.
 Hero ball needs to be dialed back a bit.
 Passed up on the easy throw to take the harder throw.
 Doesn’t work with enough anticipation as a passer.
 Will baby throws, forcing open receivers to break stride.
 Ill-advised throws under pressure turned into interceptions in 2019.
 Went 2-4 against top-25 teams during his career.",NW
Trey Lance,QB,"Film junkie with high football IQ and an NFL frame.
 Makes calls to set his own protections.
 Bouncy feet for accelerated pocket setups.
 Play-fake aficionado from under center, causing defenders to consistently bite.
 Passing scheme encourages full-field reads.
 Processes progressions very quickly and can work to his fourth read when protected.
 Able to mentally recalibrate his attack when play comes off schedule.
 Taking care of the football is a priority for him.
 Rarely takes bait against zone defenders and safeties looking to pounce.
 Compact, twitchy release partially mitigates his windup.
 Makes attempt to throw targets away from coverage.
 Adequate anticipation on timing routes.
 Makes quality touch throws into sideline buckets and over linebackers.
 Knows his way around pocket and can make sudden escapes.
 Above-average speed, athleticism and power when he’s on the move as a runner.
 Able to move the chains in a variety of ways. Highly inexperienced with just 318 pass attempts under his belt.
 Will be 20 years old at the time of the 2021 draft.
 Gets a little lackadaisical with his feet in quick game.
 Needs to trust his pocket.
 Has a tendency to void pocket rather than sliding and surveilling.
 Pressure pulls his attention from deliverable throws.
 Needs to become more decisive and trust his eyes.
 Leaves lower half behind, diminishing his drive velocity.
 Occasionally leaves explosive plays on the field by not getting it out on time.
 Leaves too many deep balls short, allowing defenders to challenge.
 Can be overly cautious.
 Needs to get his slide game up and minimize collisions as a runner.",NW
Kyle Pitts,TE,"Challenging matchup who might require specialty defenders.
 Rare combination of size, speed, athleticism and elite ball skills.
 Puts in work on all three levels as pass catcher.
 Allows offense to align him into mismatches against static coverage schemes.
 Keeps defender on the back foot with alterations of route speed.
 Clever workarounds in space without getting slowed.
 Quick accelerator to explode past off-man near the line.
 Turn burst and long strides create instant separation for quarterback.
 Hand chops dislodge grabby defender inside the route.
 Quick to locate and track the throw while maintaining positioning.
 Tremendous poise with laser-sharp focus on contested catches.
 Clears catch space suddenly with subtle hand-fighting.
 Body control and timing make time stand still as airborne baller.
 Should consistently win back-shoulder and red-zone looks.
 Catches with strong, soft hands and consistent extension.
 Eliminated his focus drops in 2020.
 Good effort in trying to stay connected to the block. Leggy into route breaks and can improve short-area footwork.
 Doesn’t throw many fakes to knock coverage off the scent.
 Mass and core strength missing for in-line blocking.
 Struggles to sustain at the point of attack.
 Needs to work with inside hands when taking on defenders.
 Below-average instincts as a lead blocker in space.
 Injury history will require examination, as he suffered a concussion in 2020.",NW
Ja'Marr Chase,WR,"Well-built lower body and good weight-room worker.
 Smooth, subtle and explosive.
 Eight touchdown catches of 50-plus yards in 2019.
 Blistering vertical acceleration to separate from stunned cornerbacks.
 Hand fighting distances him from coverage.
 Ball-tracking and downfield adjustments are rare.
 Graceful sky-walker with high-point agility.
 Posters full of defenders who tested him on 50-50 balls.
 Already dragging two feet inbounds on sideline catches.
 Turns scramble situations into big plays for his offense.
 Could require scheme help for opposing corners in the future.
 Ball magnet with sticky hands.
 Able to make hands catch-ready in an instant.
 Instinctive body positioning on contested catches.
 Spears throws outside his frame with natural adjustments.
 Big-play speed to the house on slants and over routes. Average short-area foot quickness in release and route breaks.
 Upright target who can be too easy to disrupt by press.
 Needs to play to his true speed more consistently.
 Relies upon athletic gifts and can be nonchalant with routes.
 Doesn't create enough cornerback tilt out of stems and turns.
 Route trees have been fairly basic.
 Slow gathering and opening on comebacks and zone beaters.
 Blocking could stand to improve.",NW
Jaylen Waddle,WR,"Cheat-code speed to terrify a defense.
 Eleven of 20 career touchdowns went for 50-plus yards.
 Toys with coverage by altering route speed frequently.
 Impossible to stick with on crossing routes.
 Agile hips to snap off crisp breaks.
 Sells the double moves.
 Impressive fluidity to maintain speed through transitions.
 Lower-body strength helps to battle against route bullies.
 Specializes in accessible routes on all three levels.
 Early to find and adjust to the deep ball.
 Runs through the throw rather than reaching and slowing prematurely.
 Obliterates would-be tackle angles with the ball in his hands.
 Glides, leaps and snares the ball in mid-air.
 Puts up a good fight as a blocker.
 19.3-yard career punt return average with two touchdowns. Coming off ankle injury.
 Never really tested by coverage in 2020.
 Will default to body catches on occasion.
 Had drops when ball was on top of him quickly out of breaks.
 Hasn't faced too much press.",NW
Penei Sewell,OT,"Twenty years old with potential for growth 
Considered vocal game day leader in 2019 
Exceptionally gifted athlete 
Explodes out of stance and into lateral angles/blocks that others can’t make 
Always going to find top positioning as move blocker 
Springs into action to seal play-side edge on outside zone 
Change-of-direction talent for rare second-level radar and connect rate 
Can be a very violent striker on second level.
Helped spring long touchdowns with blocks in space 
Hip torque to displace defender and widen off-tackle rushing lanes 
Fleet feet to greet edge burners at the turn 
Flashes above-average short-set potential 
Has hips and feet to make challenging recovery blocks when beaten 
Keeps hands active with punch and re-set 
Hitches a ride and redirects rush beyond his quarterback Average body type and play strength.
 Pad level and outside hands diminish his drive power.
 Tendency to pop and fall off rather than clinch up and control with hands.
 Would like to see him run feet through contact and finish consistently.
 Needs to improve upper-body strength.
 Inconsistent securing base blocks and redirecting rushers on his edges.
 Punch lacks commitment, allowing rushers to separate.
 Pass pro will benefit once he gets hands and feet in sync.
 Needs to develop a stronger outside hand in protection.
 Leaves feet behind at times when attempting to mirror inside moves.
 Scouts say work ethic needs to improve.",NW
Jaycee Horn,CB,"Comes from NFL bloodline.
 Steps on the field with prototypical dimensions.
 Plays to his size with physical man coverage.
 Experienced moving coverage from outside to slot.
 Capable of playing in a variety of coverage schemes.
 Press punch is well-timed and executed on balanced platform.
 Confident and patient squaring up release.
 Slides and mirrors in impeding the route beyond the release.
 Balances attention between route and quarterback.
 Bodies up down the field before finding the football.
 Able to track down receiver after allowing early separation.
 Long-limbed attacker at the catch point.
 Underrated blitzer with ability to slip blocks and get after quarterbacks. Very modest ball production for his level of traits and talent.
 Hips get sticky in transition, causing minor delays to accelerate.
 Too much blatant grabbing and holding during the route.
 Flags will fly if he doesn't learn to trust his feet and technique.
 Average directional change when shadowing route.
 Tunnel vision caused issues for him in coverage near goal line in 2020.
 Too content to let others do dirty work in run support.
 Needs more consistent approach and technique as tackler.",NW
Pat Surtain II,CB,"Father was Pro Bowl cornerback and is now a coach.
 Finished with 38 consecutive starts at Alabama.
 Elite physical traits with prototypical athleticism.
 Technically proficient and trusts that technique.
 Unwilling to flinch or overextend through press fakes and release.
 Feet and length to punch and widen receiver's departure.
 Recognizes routes and will run them for receivers at times.
 Gears up and down with synchronized timing to the receiver.
 Outstanding when it comes to timing up opening to phase route from press or off-man.
 Consistent attention to detail and discipline.
 Fluid movement with early acceleration from transitions.
 Long strides with choppy feet for three-level coverage.
 Shuts feet down instantly to phase comebacks.
 Feel for responsibilities and positioning in quarters and Cover 3.
 Locates ball and challenges catch when back is to quarterback.
 Explosive leaper to win jump balls at highest point.
 Gets on top of pass catchers quickly to limit run after catch.
 Committed wrap-up tackler with finisher's strength. Would like to see more physicality to slow playmakers across from him.
 Will engage in unnecessary hands-on downfield coverage.
 Had six penalties in 2019, including four pass interference calls.
 Rides on high side when phasing routes at times.
 Has opportunities to squeeze routes even tighter when he can do it safely.
 Big wide receivers fought him back near goal line.",NW
DeVonta Smith,WR,"Buttery smooth route runner with long, loose strides.
 Elevated production no matter his quarterback or teammates.
 Equally effective outside or from the slot.
 Uses sudden feet, forward lean and shoulder turn to avoid handsy press.
 Urgent takeoff creates opportunities for easy comeback routes.
 Routes are equally fluid and effective on all three levels.
 Unpredictable route tempo keeps coverage on its heels.
 Rare ability for speedy strider to quickly sink and break sharply.
 The most talented corners struggle to keep him close throughout routes.
 Rarely drops the catchable throw.
 As natural a hands catcher as you will find.
 Elite body control and catch focus in the air.
 Takes his defenders to the circus with ridiculous catches.
 Hungry getting back to the throw and creating late separation.
 Able to hit big plays after slipping first tackle.
 Has talent as a return man and gunner. Bone-thin with playing weight near 170.
 Teams will have concerns about his frame and durability.
 Feisty but lacking average play strength.
 Can be forced against sideline on outside release.
 Gets jostled at the top of the route at times.
 Big NFL cornerbacks will close some high-point windows on him.",NW
