ID,Position,Scouting Report Sentence(s),Race
1,QB,Positiv Nonadlt IndAdjVirtue Ovrst EVALComForm EnlOth EnlTot FormLw,W
2,QB,Strong Power Active Milit POLIT Role HU PowAuPt PowTotKnowPositiv Pstv Strong Power Pleasur EMOT Ovrst WlbPsyc WlbTotPower ECON Polit@ POLIT COLL HU PowAuPt PowTotPositiv Nonadlt IndAdj,W
3,QB,QuanPositiv Pstv Strong Power Virtue MeansLwSolve DAV TrnGainNegativ Ngtv Strong Active NatrPro PowOth PowTotPositiv Nonadlt IndAdj,W
4,QB,Positiv Affil Strong IndAdjABS DIST Space TimeSpcPositiv Pleasur EMOT UndrstObject Tool,W
5,QB,Object ToolSpaceObject BldgPtECON Polit@ POLIT PLACE Region PowOth PowTotRel IAVPositiv Pstv Affil Active Virtue EVAL MeansLwSpace,W
6,QB,QualityPLACE RouteObject ToolNegativ Ngtv Weak Passive Fall IAV NegAffPositiv Pstv Virtue Ovrst Abs@ ABS EnlOth EnlTotSpacePositiv Pstv Ovrst Rel,W
7,QB,SpacePositiv Strong Virtue EVAL Abs@ ABS MeansLwPositiv Pstv Virtue EVAL WltOth WltTotPower Active Travel,W
8,QB,Hostile Strong Power Active Milit SocRel IAV PowCon PowTotArousal EndsLwPowOth PowTotStrong Active Fetch IAV TrnGainPassive Stay IAV,W
9,QB,Vary TranLwHostile Strong Power Active Milit SocRel IAV PowCon PowTotQualityPositiv Pstv Strong Power Virtue MeansLwVary TranLwNegativ Ngtv Passive Need EndsLw,W
10,QB,Weak Time@ TimeSpcStrong Active Fetch IAV TrnGain,W
11,QB,Positiv Pstv Strong Goal MeansLwStrong EVAL QualityPositiv Nonadlt IndAdjStrong Active Exert Abs@ ABS TranLwNegativ Ngtv Hostile Strong Active Vice Eval@ IndAdjNegativ Ngtv Vice EnlOth EnlTotIAV EndsLwPositiv Complet QuanSubmit Active ComForm DAV AffGain AffTot,W
12,QB,Negativ OvrstLegal Role HU SklPt SklTOTNegativ ComForm PerceivPositiv Nonadlt IndAdjStrong Power Active Exert IAV PowOth PowTotStrong Active Rise IAV,W
13,QB,Positiv Active ComForm Solve IAVEcon@ ECON ComForm COM FormLwObject ComnObjActive Fall DAVStrong Active Means TrnGain,W
14,QB,Positiv Pstv Strong Active Virtue TrnGainSubmit Passive Role HURitualPassive Arousal EndsLw,W
15,QB,Negativ Ngtv Weak Passive Vice WlbPhys WlbTotPower Role HU EnlPt EnlTotSpaceWeak Undrst FREQ TimeSpcSolve IAVStrong SpaceSpace,W
16,QB,Negativ Ngtv Passive Need EndsLwRel IAV TranLw,W
17,QB,Strong Ovrst Quan DIMActive SpacePositiv Pstv Virtue Econ@ ECON WltOth WltTotPositiv Nonadlt IndAdjPositiv Pstv Virtue EVAL SklOth SklTOTPositiv Pstv Strong Virtue EVAL SklOth SklTOTQuan,NW
18,QB,Positiv Pstv Affil Strong Passive Object ComnObj COM EndsLwStrong Virtue EndsLwPositiv Complet QuanHostile Strong Power Active Milit SocRel IAV PowCon PowTotStrong Power Active SocRel IAVPositiv Active Ovrst IAVSpaceActive Travel TranLw,NW
19,QB,Active Econ@ Role HU EnlPt EnlTotVary TranLwHostile Strong Power Active Milit SocRel IAV PowCon PowTotNegativ Ngtv Passive Need EndsLw,NW
20,QB,Positiv Pstv Virtue EVAL WltOth WltTotPower Active TravelPositiv Pstv Virtue Ovrst Abs@ ABS EnlOth EnlTotObject BldgPt,NW
21,QB,Positiv Pstv Strong Power Virtue RspOth RspTotPositiv Pstv Strong Virtue RcGain RcTotArousal EndsLw,NW
22,QB,Active Causal TrnGainStrong Quan DIMPositiv Nonadlt IndAdjSpaceStrong SpaceSpace POS PowCoop PowTotPositiv Pstv Virtue Ovrst Abs@ ABS EnlOth EnlTotPositiv Pstv Know PowCoop PowTotPositiv Pstv Strong Virtue EVAL SklOth SklTOT,NW
23,QB,Passive Arousal EMOTStrong Power Active Exert IAV PowOth PowTotObject Tool,NW
